tracker_name,package_prefix,categories,network_signature,website,source,code_signature
Inmobi,in.inmobi,,c\.w\.inmobi\.com|china\.inmobi\.com|config-ltvp\.inmobi\.com|config\.inmobi\.com|et\.w\.inmobi\.com|i\.l\.inmobicdn\.net|i\.w\.inmobi\.com|inmobi\.cn|inmobi\.com|inmobi\.info|inmobi\.net|inmobi\.us|inmobicdn\.com|inmobicdn\.net|inmobisdk\-a\.akamaihd\.net|japan\.inmobi\.com|r\.w\.inmobi\.com|sdkm\.w\.inmobi\.com|sdktm\.w\.inmobi\.com|w\.inmobi\.com,http://inmobi.com,exodus,com.inmobi|in.inmobi.
Inneractive,com.inneractive.api.ads,Advertisement,,https://www.crunchbase.com/organization/inneractive,exodus,com.inneractive.api.ads
Inrix,com.inrix.sdk,,inrix\.com|inrix\.io,http://inrix.com/,exodus,com.inrix.sdk
Insider,com.useinsider.insider,Analytics,,https://useinsider.com/,exodus,com.useinsider.insider
Instabug,com.instabug,Crash reporting,,https://instabug.com/crash-reporting,exodus,com.instabug.
Instreamatic (Adman),com.instreamatic,Advertisement|Analytics,instreamatic\.com,http://instreamatic.com/,exodus,com.instreamatic
Integral Ad Science,com.integralads.avid.library,,adsafeprotected\.com|iasds01\.com|integralads\.com,https://integralads.com,exodus,com.integralads.avid.library
JW Player,com.longtailvideo.jwplayer,,g\.jwpsrv\.com|jwpltx\.com|p\.jwpcdn\.com,https://jwplayer.com,exodus,com.longtailvideo.jwplayer.
Janrain,com.janrain.android,Identification,,https://en.wikipedia.org/wiki/Janrain,exodus,com.janrain.android|com.janrain.android.engage|com.janrain.android.capture
Janrain,com.janrain.android.capture,Identification,,https://en.wikipedia.org/wiki/Janrain,exodus,com.janrain.android|com.janrain.android.engage|com.janrain.android.capture
Janrain,com.janrain.android.engage,Identification,,https://en.wikipedia.org/wiki/Janrain,exodus,com.janrain.android|com.janrain.android.engage|com.janrain.android.capture
JiGuang Aurora Mobile JPush,cn.jpush.android,Analytics,.*\.jiguang\.cn,https://ir.jiguang.cn/corporate-profile,exodus,cn.jpush.android
Jumio,com.jumio.mobilesdk,Identification,mobile-sdk-resources.jumio.com|nv-sdk.jumio.com,https://www.jumio.com/,exodus,com.jumio.MobileSDK
JumpTap,com.jumptap.adtag,Advertisement,,http://www.millennialmedia.com,exodus,com.jumptap.adtag.
KIDOZ,com.kidoz.sdk,Advertisement,,https://kidoz.net/kidoz-sdk/,exodus,com.kidoz.sdk
Keen,io.keen.client,Analytics,api\.keen\.io,https://keen.io,exodus,io.keen.client.
Kiip,me.kiip.sdk,Advertisement,kiip\.me,https://www.ninthdecimal.com/,exodus,me.kiip.sdk
Kissmetrics,com.kissmetrics,Analytics,,https://www.kissmetricshq.com/,exodus,com.kissmetrics
Kochava,.kochavaccpa,Advertisement|Profiling|Analytics,control\.kochava\.com|kvinit\-prod\.api\.kochava\.com,https://www.kochava.com/,exodus,com.kochava.base.|com.kochava.android.tracker.|.kochavaccpa.
Kochava,com.kochava.android.tracker,Advertisement|Profiling|Analytics,control\.kochava\.com|kvinit\-prod\.api\.kochava\.com,https://www.kochava.com/,exodus,com.kochava.base.|com.kochava.android.tracker.|.kochavaccpa.
Kochava,com.kochava.base,Advertisement|Profiling|Analytics,control\.kochava\.com|kvinit\-prod\.api\.kochava\.com,https://www.kochava.com/,exodus,com.kochava.base.|com.kochava.android.tracker.|.kochavaccpa.
Kontakt,com.kontakt.sdk.android,Analytics,kontakt\.io,https://kontakt.io/,exodus,com.kontakt.sdk.android.
LeanPlum,com.leanplum,Location|Profiling|Analytics,leanplum\.com,https://www.leanplum.com/,exodus,com.leanplum.
Lenddo,com.lenddo.mobile,Location|Identification|Analytics,\.partner-service\.link,https://www.lenddo.com/,exodus,com.lenddo.mobile
Ligatus,.ligatusmanager,,ligatus\.com,http://ligatus.com,exodus,.LigatusManager|.LigatusViewClient|com.ligatus.android.adframework
Ligatus,.ligatusviewclient,,ligatus\.com,http://ligatus.com,exodus,.LigatusManager|.LigatusViewClient|com.ligatus.android.adframework
Ligatus,com.ligatus.android.adframework,,ligatus\.com,http://ligatus.com,exodus,.LigatusManager|.LigatusViewClient|com.ligatus.android.adframework
Lisnr,com.lisnr,Analytics,lisnr\.com,http://lisnr.com,exodus,com.lisnr.
Localytics,com.localytics.android,Profiling|Analytics,analytics\.localytics\.com|manifest\.localytics\.com|profile\.localytics\.com|sdk-assets\.localytics\.com,http://localytics.com,exodus,com.localytics.android.|com.localytics.androidx|com.localytics.react.
Localytics,com.localytics.androidx,Profiling|Analytics,analytics\.localytics\.com|manifest\.localytics\.com|profile\.localytics\.com|sdk-assets\.localytics\.com,http://localytics.com,exodus,com.localytics.android.|com.localytics.androidx|com.localytics.react.
Localytics,com.localytics.react,Profiling|Analytics,analytics\.localytics\.com|manifest\.localytics\.com|profile\.localytics\.com|sdk-assets\.localytics\.com,http://localytics.com,exodus,com.localytics.android.|com.localytics.androidx|com.localytics.react.
Locuslabs,com.locuslabs.sdk,,locuslabs\.com,http://locuslabs.com,exodus,com.locuslabs.sdk
Loggly,com.github.tony19.loggly,Analytics,loggly\.com,http://loggly.com/,exodus,com.github.tony19.timber.loggly|com.github.tony19.loggly|com.visiware.sync2ad.logger.loggly.
Loggly,com.github.tony19.timber.loggly,Analytics,loggly\.com,http://loggly.com/,exodus,com.github.tony19.timber.loggly|com.github.tony19.loggly|com.visiware.sync2ad.logger.loggly.
Loggly,com.visiware.sync2ad.logger.loggly,Analytics,loggly\.com,http://loggly.com/,exodus,com.github.tony19.timber.loggly|com.github.tony19.loggly|com.visiware.sync2ad.logger.loggly.
LoopMe,com.loopme,Advertisement,,https://loopme.com/,exodus,com.loopme.
LotaData,com.lotadata.moments,Location|Profiling|Analytics,,http://lotadata.com,exodus,com.lotadata.moments.
Lotame,com.lotame.android,,ad\.crwdcntrl\.net,https://www.lotame.com/,exodus,com.lotame.android
MAdvertise,com.mngads,,dispatcher\.mng\-ads\.com|mobile\.mng\-ads\.com,http://madvertise.com,exodus,com.mngads.sdk|com.mngads.views|com.mngads.
MAdvertise,com.mngads.sdk,,dispatcher\.mng\-ads\.com|mobile\.mng\-ads\.com,http://madvertise.com,exodus,com.mngads.sdk|com.mngads.views|com.mngads.
MAdvertise,com.mngads.views,,dispatcher\.mng\-ads\.com|mobile\.mng\-ads\.com,http://madvertise.com,exodus,com.mngads.sdk|com.mngads.views|com.mngads.
MDOTM,com.mdotm.android,Advertisement,ads\.mdotm\.com,http://mdotm.com/,exodus,com.mdotm.android
MOCA,com.innoquant.moca,Location|Profiling|Analytics,api-device\.mocaplatform\.com,https://www.mocaplatform.com/,exodus,com.innoquant.moca
Mail.ru,ru.mail.mrgservice.advertising,,,http://mail.ru,exodus,ru.mail.mrgservice.advertising|ru.mail.mrgservice.analytics
Mail.ru,ru.mail.mrgservice.analytics,,,http://mail.ru,exodus,ru.mail.mrgservice.advertising|ru.mail.mrgservice.analytics
Mapbox,com.mapbox.android.telemetry,,a\.tiles\.mapbox\.com|api\.tiles\.mapbox\.com,https://www.mapbox.com/,exodus,com.mapbox.mapboxsdk.module.telemetry|com.mapbox.mapboxsdk.maps.TelemetryDefinition|com.mapbox.android.telemetry.
Mapbox,com.mapbox.mapboxsdk.maps.telemetrydefinition,,a\.tiles\.mapbox\.com|api\.tiles\.mapbox\.com,https://www.mapbox.com/,exodus,com.mapbox.mapboxsdk.module.telemetry|com.mapbox.mapboxsdk.maps.TelemetryDefinition|com.mapbox.android.telemetry.
Mapbox,com.mapbox.mapboxsdk.module.telemetry,,a\.tiles\.mapbox\.com|api\.tiles\.mapbox\.com,https://www.mapbox.com/,exodus,com.mapbox.mapboxsdk.module.telemetry|com.mapbox.mapboxsdk.maps.TelemetryDefinition|com.mapbox.android.telemetry.
Marketo (an Adobe Company),com.marketo,Analytics,marketo\.com|marketo\.net|mktoedge\.com|mktossl\.com|\.mktorest\.com,https://marketo.com,exodus,com.marketo.
Matomo (Piwik),org.matomo,Analytics,matomo\.org,https://matomo.org/mobile,exodus,org.piwik|org.piwik.mobile|org.matomo
Matomo (Piwik),org.piwik,Analytics,matomo\.org,https://matomo.org/mobile,exodus,org.piwik|org.piwik.mobile|org.matomo
Matomo (Piwik),org.piwik.mobile,Analytics,matomo\.org,https://matomo.org/mobile,exodus,org.piwik|org.piwik.mobile|org.matomo
Metaps,com.metaps,Advertisement,,http://www.metaps.com,exodus,com.metaps
Metrics,com.codahale.metrics,Analytics,,https://metrics.dropwizard.io,exodus,com.codahale.metrics
Microsoft Visual Studio App Center Analytics,com.microsoft.appcenter.analytics,Analytics,,https://appcenter.ms/,exodus,com.microsoft.appcenter.analytics|com.microsoft.azure.mobile.analytics
Microsoft Visual Studio App Center Analytics,com.microsoft.azure.mobile.analytics,Analytics,,https://appcenter.ms/,exodus,com.microsoft.appcenter.analytics|com.microsoft.azure.mobile.analytics
Microsoft Visual Studio App Center Crashes,com.microsoft.appcenter.crashes,Crash reporting,,https://appcenter.ms/,exodus,com.microsoft.appcenter.crashes
Millennial Media,com.millennialmedia,,adtech\.de|contextual\.media\.net|media\.net|millennialmedia\.com,https://www.millennialmedia.com/,exodus,com.millennialmedia.
Mintegral,com.mbridge.msdk,Advertisement|Analytics,analytics\.rayjump\.com|cdn-adn\.rayjump\.com|de01\.rayjump\.com|de\.rayjump\.com|detect\.rayjump\.com|fk-mtrack\.rayjump\.com|hybird\.rayjump\.com|jssdk\.rayjump\.com|net\.rayjump\.com|online\.rayjump\.com|rayjump\.com|setting\.rayjump\.com|sg-mtrack\.rayjump\.com|sg01\.rayjump\.com|sg\.rayjump\.com|tknet\.rayjump\.com|us01\.rayjump\.com,https://www.mintegral.com/en/,exodus,com.mintegral.|com.mbridge.msdk.
Mintegral,com.mintegral,Advertisement|Analytics,analytics\.rayjump\.com|cdn-adn\.rayjump\.com|de01\.rayjump\.com|de\.rayjump\.com|detect\.rayjump\.com|fk-mtrack\.rayjump\.com|hybird\.rayjump\.com|jssdk\.rayjump\.com|net\.rayjump\.com|online\.rayjump\.com|rayjump\.com|setting\.rayjump\.com|sg-mtrack\.rayjump\.com|sg01\.rayjump\.com|sg\.rayjump\.com|tknet\.rayjump\.com|us01\.rayjump\.com,https://www.mintegral.com/en/,exodus,com.mintegral.|com.mbridge.msdk.
MixPanel,com.mixpanel,Analytics,api\.mixpanel\.com|decide\.mixpanel\.com|mixpanel\.com|switchboard\.mixpanel\.com,https://mixpanel.com/,exodus,com.mixpanel.
MoEngage,com.moengage,Analytics,apiv2\.moengage\.com,https://www.moengage.com/,exodus,com.moengage.
Moat,com.moat.analytics.mobile,Advertisement|Analytics,apx\.moatads\.com|geo\.moatads\.com|js\.moatads\.com|mb\.moatads\.com|moat\.com|pixel\.moatads\.com|px\.moatads\.com|sejs\.moatads\.com|yt\.moatads\.com|yts\.moatads\.com|z\.moatads\.com,https://moat.com/analytics,exodus,com.moat.analytics.mobile.
MobFox,com.adsdk.sdk,Advertisement|Profiling|Analytics,,https://www.mobfox.com/,exodus,com.mobfox.|com.adsdk.sdk.
MobFox,com.mobfox,Advertisement|Profiling|Analytics,,https://www.mobfox.com/,exodus,com.mobfox.|com.adsdk.sdk.
MobPower,com.mobpower,Advertisement,api\.mobpowertech\.com|log\.mobpowertech\.com|mobpowertech\.com|scheme\.mobpowertech\.com,https://home.mobpowertech.com/,exodus,com.mobpower.
Mobile Engagement,com.microsoft.azure.engagement,Analytics,login\.microsoftonline\.com|management\.azure\.com,https://docs.microsoft.com/en-us/azure/mobile-engagement/mobile-engagement-android-sdk-overview,exodus,com.ubikod.capptain.|com.microsoft.azure.engagement.
Mobile Engagement,com.ubikod.capptain,Analytics,login\.microsoftonline\.com|management\.azure\.com,https://docs.microsoft.com/en-us/azure/mobile-engagement/mobile-engagement-android-sdk-overview,exodus,com.ubikod.capptain.|com.microsoft.azure.engagement.
Mobvista,com.mobvista,Profiling|Analytics,mobvista\.com,https://www.mobvista.com/,exodus,com.mobvista.
Moodmedia,com.moodmedia,Location|Advertisement,moodpresence\.com,https://us.moodmedia.com/,exodus,com.moodmedia
Mopinion,com.mopinion.mopinionsdk,Profiling|Analytics,,https://mopinion.com,exodus,com.mopinion.mopinionsdk
Mozilla Telemetry,mozilla.telemetry.glean,,,https://wiki.mozilla.org/Telemetry,exodus,org.mozilla.telemetry|org.mozilla.gecko.telemetry|mozilla.telemetry.glean.|org.mozilla.fenix.GleanMetrics|org.mozilla.fenix.components.metrics
Mozilla Telemetry,org.mozilla.fenix.components.metrics,,,https://wiki.mozilla.org/Telemetry,exodus,org.mozilla.telemetry|org.mozilla.gecko.telemetry|mozilla.telemetry.glean.|org.mozilla.fenix.GleanMetrics|org.mozilla.fenix.components.metrics
Mozilla Telemetry,org.mozilla.fenix.gleanmetrics,,,https://wiki.mozilla.org/Telemetry,exodus,org.mozilla.telemetry|org.mozilla.gecko.telemetry|mozilla.telemetry.glean.|org.mozilla.fenix.GleanMetrics|org.mozilla.fenix.components.metrics
Mozilla Telemetry,org.mozilla.gecko.telemetry,,,https://wiki.mozilla.org/Telemetry,exodus,org.mozilla.telemetry|org.mozilla.gecko.telemetry|mozilla.telemetry.glean.|org.mozilla.fenix.GleanMetrics|org.mozilla.fenix.components.metrics
Mozilla Telemetry,org.mozilla.telemetry,,,https://wiki.mozilla.org/Telemetry,exodus,org.mozilla.telemetry|org.mozilla.gecko.telemetry|mozilla.telemetry.glean.|org.mozilla.fenix.GleanMetrics|org.mozilla.fenix.components.metrics
NativeX,com.nativex,,nativex\.com,http://www.nativex.com/,exodus,com.nativex
New Relic,com.newrelic.agent,Analytics,js-agent\.newrelic\.com|mobile-collector\.newrelic\.com|newrelic\.com|nr-data\.net,http://www.newrelic.com,exodus,com.newrelic.agent.|com.newrelic.mobile.
New Relic,com.newrelic.mobile,Analytics,js-agent\.newrelic\.com|mobile-collector\.newrelic\.com|newrelic\.com|nr-data\.net,http://www.newrelic.com,exodus,com.newrelic.agent.|com.newrelic.mobile.
Nexage,com.nexage.android,,nexage\.com,http://nexage.com/,exodus,com.nexage.android.|org.nexage.
Nexage,org.nexage,,nexage\.com,http://nexage.com/,exodus,com.nexage.android.|org.nexage.
Nielsen,com.nielsen.app,Analytics,,https://www.nielsen.com,exodus,com.nielsen.app
OfferToro,com.offertoro.sdk,Advertisement,,http://www.offertoro.com/,exodus,com.offertoro.sdk.
Ogury Presage,io.presage,,presage\.io,http://www.presage.io/,exodus,io.presage.
Omniture,com.adobe.adms.measurement,Profiling|Analytics,omniture\.com|omtrdc\.net,https://www.adobe.com/analytics/adobe-analytics-features.html,exodus,com.omniture.|com.adobe.adms.measurement.
Omniture,com.omniture,Profiling|Analytics,omniture\.com|omtrdc\.net,https://www.adobe.com/analytics/adobe-analytics-features.html,exodus,com.omniture.|com.adobe.adms.measurement.
OneAudience,com.oneaudience.sdk,Profiling|Analytics,,http://www.oneaudience.com/,exodus,com.oneaudience.sdk.
OneSignal,com.onesignal,,onesignal\.com,https://onesignal.com/,exodus,com.onesignal.
Ooyala,com.ooyala,Advertisement,ooyala\.com,https://www.ooyala.com/,exodus,com.ooyala
OpenBack,com.openback,,,https://www.openback.com,exodus,com.openback
OpenLocate,com.openlocate,Location,api\.safegraph\.com,https://www.safegraph.com/,exodus,com.safegraph.|com.openlocate
OpenLocate,com.safegraph,Location,api\.safegraph\.com,https://www.safegraph.com/,exodus,com.safegraph.|com.openlocate
"OpenTelemetry (OpenCensus, OpenTracing)",io.opencensus,Analytics,,https://opentelemetry.io/,exodus,io.opencensus|io.opentelemetry
"OpenTelemetry (OpenCensus, OpenTracing)",io.opentelemetry,Analytics,,https://opentelemetry.io/,exodus,io.opencensus|io.opentelemetry
OpenX,com.openx.android_sdk_openx,Location|Advertisement|Analytics,openx\.com|openx\.net|openx\.org|us-ads\.openx\.net,https://www.openx.com/,exodus,com.openx.view.plugplay|com.openx.android_sdk_openx
OpenX,com.openx.view.plugplay,Location|Advertisement|Analytics,openx\.com|openx\.net|openx\.org|us-ads\.openx\.net,https://www.openx.com/,exodus,com.openx.view.plugplay|com.openx.android_sdk_openx
Opensignal,com.opensignal.datacollection,Location|Analytics,,https://www.opensignal.com,exodus,com.opensignal.datacollection.
Optimizely,com.optimizely,Analytics,optimizely\.com|optimizelyapis\.com,https://www.optimizely.com/,exodus,com.optimizely.
OtherLevels,com.otherlevels,,api\.otherlevels\.com|geodata\.otherlevels\.com|mdn\.otherlevels\.com|rich\.otherlevels\.com|tags\.otherlevels\.com|ws\.otherlevels\.com,https://www.otherlevels.com/,exodus,com.otherlevels.
OutBrain,com.outbrain,,outbrain\.com,http://www.outbrain.com/,exodus,com.outbrain.
OzTAM,au.com.oztam,Analytics,deliver.oztam.com.au,https://oztam.com.au/,exodus,au.com.oztam.
POKKT,com.pokkt.sdk,Advertisement,,https://www.pokkt.com,exodus,com.pokkt.sdk.
Pangle,com.bytedance,Advertisement,,https://www.pangleglobal.com,exodus,com.bytedance|com.pgl|com.pangle.global
Pangle,com.pangle.global,Advertisement,,https://www.pangleglobal.com,exodus,com.bytedance|com.pgl|com.pangle.global
Pangle,com.pgl,Advertisement,,https://www.pangleglobal.com,exodus,com.bytedance|com.pgl|com.pangle.global
Parse.ly,com.parsely.parselyandroid,Analytics,,https://www.parse.ly/,exodus,com.parsely.parselyandroid
Pendo,sdk.insert.io,Analytics,,https://www.pendo.io,exodus,sdk.insert.io.|sdk.pendo.io.
Pendo,sdk.pendo.io,Analytics,,https://www.pendo.io,exodus,sdk.insert.io.|sdk.pendo.io.
Persona.ly,ly.persona.sdk,,dev-api\.persona\.ly|dev\.dsp\.persona\.ly|dev\.persona\.ly|dsp\.persona\.ly|persona\.ly|rtb\.persona\.ly|sdk\.persona\.ly,http://persona.ly/,exodus,ly.persona.sdk
Pilgrim by Foursquare,com.foursquare.pilgrim,Location,sdk\.foursquare\.com,https://enterprise.foursquare.com/products/pilgrim,exodus,com.foursquare.pilgrim|com.foursquare.pilgrimsdk.android
Pilgrim by Foursquare,com.foursquare.pilgrimsdk.android,Location,sdk\.foursquare\.com,https://enterprise.foursquare.com/products/pilgrim,exodus,com.foursquare.pilgrim|com.foursquare.pilgrimsdk.android
Pincrux,com.pincrux,Advertisement,,https://www.pincrux.com/,exodus,com.pincrux.
