permission,count,suggested_category,confidence,reason
android.permission.GRANT_REVOKE_PERMISSIONS,3,Unknown,Low,No matching heuristics
android.permission.CHANGE_COMPONENT_ENABLED_STATE,3,Unknown,Low,No matching heuristics
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.MODIFY_PHONE_STATE",3,Bluetooth,High,Contains BLUETOOTH keyword
"android.permission.DEVICE_POWER, android.permission.START_ANY_ACTIVITY",3,Unknown,Low,No matching heuristics
"android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",3,SMS,High,Contains SMS keyword
android.permission.READ_PROFILE,3,Unknown,Low,No matching heuristics
"android.permission.DELETE_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL",3,Unknown,Low,No matching heuristics
"android.permission.INSTALL_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL",3,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_ACCOUNTS",3,Accounts,High,Contains ACCOUNT keyword
"android.permission.GET_ACCOUNTS, android.permission.INTERACT_ACROSS_USERS_FULL",3,Accounts,High,Contains ACCOUNT keyword
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.START_ANY_ACTIVITY",3,Unknown,Low,No matching heuristics
android.permission.SET_PROCESS_LIMIT,3,Unknown,Low,No matching heuristics
"android.permission.ACCESS_NETWORK_STATE, android.permission.INTERNET",3,Connectivity,Low,Contains network keywords
android.permission.SCORE_NETWORKS,3,Connectivity,Low,Contains network keywords
"android.permission.GET_TASKS, android.permission.REAL_GET_TASKS",3,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_DEVICE_STATS",3,Unknown,Low,No matching heuristics
android.permission.MANAGE_VOICE_KEYPHRASES,3,Unknown,Low,No matching heuristics
android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST,3,Device Identifiers,High,Contains device identity keywords
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS",3,Unknown,Low,No matching heuristics
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",3,Unknown,Low,No matching heuristics
"android.permission.ACCESS_FINE_LOCATION, android.permission.INTERACT_ACROSS_USERS_FULL",3,Location,High,Contains LOCATION keyword
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",3,Bluetooth,High,Contains BLUETOOTH keyword
android.permission.USE_CREDENTIALS,2,Unknown,Low,No matching heuristics
"android.permission.MANAGE_ACCOUNTS, android.permission.USE_CREDENTIALS",2,Accounts,High,Contains ACCOUNT keyword
android.permission.REMOTE_AUDIO_PLAYBACK,2,Microphone,Medium,Contains audio recording keywords
android.permission.ASEC_MOUNT_UNMOUNT,2,Unknown,Low,No matching heuristics
android.permission.SERIAL_PORT,2,Unknown,Low,No matching heuristics
android.permission.UPDATE_LOCK,2,Unknown,Low,No matching heuristics
android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY,2,Unknown,Low,No matching heuristics
android.permission.GET_TASKS,2,Unknown,Low,No matching heuristics
android.permission.KILL_BACKGROUND_PROCESSES,2,Unknown,Low,No matching heuristics
android.permission.STOP_APP_SWITCHES,2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_SCREEN_COMPATIBILITY, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
android.permission.CHANGE_CONFIGURATION,2,Unknown,Low,No matching heuristics
android.permission.CLEAR_APP_CACHE,2,Unknown,Low,No matching heuristics
android.permission.MOVE_PACKAGE,2,Unknown,Low,No matching heuristics
android.permission.SET_ORIENTATION,2,Unknown,Low,No matching heuristics
android.permission.SET_ANIMATION_SCALE,2,Unknown,Low,No matching heuristics
