package,class,method,permissions,categories
android.server,BluetoothService,getConnectedPanDevices,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getDiscoverableTimeout,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getHealthDeviceConnectionState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getHealthDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getInputDeviceConnectionState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getInputDevicePriority,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getInputDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getMainChannelFd,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getName,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getPanDeviceConnectionState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getPanDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getProfileConnectionState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getRemoteAlias,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getRemoteClass,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getRemoteName,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getRemoteServiceChannel,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getRemoteUuids,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getScanMode,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getTrustState,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,getUuids,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,isDiscovering,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,isEnabled,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,isTetheringOn,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,listBonds,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,readOutOfBandData,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,registerAppConfiguration,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,removeBond,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,removeServiceRecord,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,setBluetoothTethering,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,setDeviceOutOfBandData,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,setDiscoverableTimeout,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,setInputDevicePriority,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,setName,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,setPairingConfirmation,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,setPasskey,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,setPin,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,setRemoteAlias,android.permission.BLUETOOTH,Unknown
android.server,BluetoothService,setRemoteOutOfBandData,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,setScanMode,"android.permission.BLUETOOTH, android.permission.WRITE_SECURE_SETTINGS",Unknown
android.server,BluetoothService,setTrust,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",Unknown
android.server,BluetoothService,startDiscovery,android.permission.BLUETOOTH_ADMIN,Unknown
android.server,BluetoothService,unregisterAppConfiguration,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dp,A2dpService$BluetoothA2dpBinder,connect,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_ADMIN",Unknown
com.android.bluetooth.a2dp,A2dpService$BluetoothA2dpBinder,disconnect,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_ADMIN",Unknown
com.android.bluetooth.a2dp,A2dpService$BluetoothA2dpBinder,getConnectedDevices,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dp,A2dpService$BluetoothA2dpBinder,getConnectionState,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dp,A2dpService$BluetoothA2dpBinder,getDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dp,A2dpService$BluetoothA2dpBinder,getPriority,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.a2dp,A2dpService$BluetoothA2dpBinder,isA2dpPlaying,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dp,A2dpService$BluetoothA2dpBinder,setPriority,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.a2dp,A2dpSinkService$BluetoothA2dpSinkBinder,connect,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.a2dp,A2dpSinkService$BluetoothA2dpSinkBinder,disconnect,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.a2dp,A2dpSinkService$BluetoothA2dpSinkBinder,getAudioConfig,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dp,A2dpSinkService$BluetoothA2dpSinkBinder,getConnectedDevices,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dp,A2dpSinkService$BluetoothA2dpSinkBinder,getConnectionState,android.permission.BLUETOOTH,Unknown
