provider,detector_count,regex_count,verification_supported_count
Websitepulse,1,1,1
Weights,1,1,1
Whoxy,1,1,1
Wistia,1,1,1
Wit,1,1,1
Wiz,1,1,1
Worksnaps,1,1,1
Workstack,1,1,1
Wrike,1,1,1
XAI,1,1,1
Yandex,1,1,1
Yelp,1,1,1
Youtube,1,1,1
Zapier,1,1,1
Zendesk,1,1,1
Zenkit,1,1,1
Zen,1,1,1
Zenscrape,1,1,1
Zenserp,1,1,1
Zeplin,1,1,1
Zerobounce,1,1,1
Zero,1,1,1
Zipcodebase,1,1,1
Zoho,1,1,1
Zonka,1,1,1
Zulip,1,1,1
