package,class,method,permissions,categories
android.provider,ContactsContract$Contacts,CONTENT_LOOKUP_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Contacts,CONTENT_MULTI_VCARD_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Contacts,CONTENT_STREQUENT_FILTER_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Contacts,CONTENT_STREQUENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Contacts,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Contacts,CONTENT_VCARD_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Contacts,lookupContact,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Data,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$DataUsageFeedback,DELETE_USAGE_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$DataUsageFeedback,FEEDBACK_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$DeletedContacts,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$DisplayPhoto,CONTENT_MAX_DIMENSIONS_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$DisplayPhoto,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Groups,CONTENT_SUMMARY_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Groups,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$PhoneLookup,CONTENT_FILTER_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
