record_id,category,subcategory,framework,package_name,class_name,method_name,api_name,api_type,permission,sources,source_versions,supported_android_versions,import_timestamp,min_android_api,max_android_api,confidence,documentation_url,deprecated,notes
,Device Identifiers,,Android Framework,android.telecom,TelecomManager,getLine1Number,getLine1Number,method,android.permission.READ_PHONE_STATE,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Device Identifiers,,Android Framework,android.telecom,TelecomManager,getVoiceMailNumber,getVoiceMailNumber,method,android.permission.READ_PHONE_STATE,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Device Identifiers,,Android Framework,android.telecom,TelecomManager,getCallCapablePhoneAccounts,getCallCapablePhoneAccounts,method,android.permission.READ_PHONE_STATE,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Device Identifiers,,Android Framework,android.telecom,TelecomManager,placeCall,placeCall,method,android.permission.CALL_PHONE,"[""PScout""]","[""API-23"", ""API-25""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Device Identifiers,,Android Framework,android.telecom,TelecomManager,showInCallScreen,showInCallScreen,method,android.permission.READ_PHONE_STATE,"[""PScout""]","[""API-23"", ""API-25"", ""TXT""]","[23, 25]",2026-07-07T13:53:25.678825+00:00,23,25,high,,False,
,Location,,Android Framework,android.location,LocationManager,getGpsStatus,getGpsStatus,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-25""]",[25],2026-07-07T13:53:25.679843+00:00,25,25,high,,False,
,Location,,Android Framework,android.location,LocationManager,registerGnssMeasurementsCallback,registerGnssMeasurementsCallback,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-25""]",[25],2026-07-07T13:53:25.679843+00:00,25,25,high,,False,
,Location,,Android Framework,android.location,LocationManager,registerGnssNavigationMessageCallback,registerGnssNavigationMessageCallback,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-25""]",[25],2026-07-07T13:53:25.679843+00:00,25,25,high,,False,
,Location,,Android Framework,android.location,LocationManager,registerGnssStatusCallback,registerGnssStatusCallback,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-25""]",[25],2026-07-07T13:53:25.679843+00:00,25,25,high,,False,
,Unknown,,Android Framework,android.net.wifi,WifiManager,SCAN_RESULTS_AVAILABLE_ACTION,SCAN_RESULTS_AVAILABLE_ACTION,field,android.permission.ACCESS_COARSE_LOCATION,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Location,,Android Framework,android.net.wifi,WifiManager,SCAN_RESULTS_AVAILABLE_ACTION,SCAN_RESULTS_AVAILABLE_ACTION,field,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.telephony,TelephonyManager,getNeighboringCellInfo,getNeighboringCellInfo,method,android.permission.ACCESS_COARSE_LOCATION,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Carriers,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$MmsSms,CONTENT_CONVERSATIONS_URI,CONTENT_CONVERSATIONS_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$MmsSms,CONTENT_DRAFT_URI,CONTENT_DRAFT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$MmsSms,CONTENT_FILTER_BYPHONE_URI,CONTENT_FILTER_BYPHONE_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$MmsSms,CONTENT_LOCKED_URI,CONTENT_LOCKED_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
