permission,android_permission_group,privacy_category,source
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_CA_CERTIFICATES",,,
android.permission.MODIFY_PARENTAL_CONTROLS,,,
"android.permission.RECEIVE_SMS, android.permission.SEND_SMS, android.permission.UPDATE_APP_OPS_STATS",,,
android.permission.CONTROL_VPN,,,
"android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",,,
android.permission.USE_FINGERPRINT,,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.TETHER_PRIVILEGED",,,
android.permission.RECOVERY,,,
"android.permission.BROADCAST_STICKY, android.permission.SET_DEBUG_APP, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",,,
android.permission.CALL_PHONE,PHONE,Device Identifiers,AOSP
android.permission.READ_SOCIAL_STREAM,PERSONAL_INFO,Personal Info,AOSP
"android.permission.READ_SOCIAL_STREAM, android.permission.WRITE_SOCIAL_STREAM",,,
android.permission.ACCESS_ALL_DOWNLOADS,,,
android.permission.WRITE_APN_SETTINGS,,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE",,,
android.permission.SHUTDOWN,,,
android.permission.WRITE_SETTINGS,SYSTEM_TOOLS,System Tools,AOSP
android.permission.VIBRATE,HARDWARE_CONTROLS,Hardware Controls,AOSP
android.permission.SET_WALLPAPER_HINTS,,,
android.permission.SET_WALLPAPER,,,
android.permission.SET_WALLPAPER_COMPONENT,,,
android.permission.FORCE_STOP_PACKAGES,SYSTEM_TOOLS,System Tools,AOSP
"android.permission.BROADCAST_STICKY, android.permission.DEVICE_POWER, android.permission.START_ANY_ACTIVITY",,,
android.permission.REORDER_TASKS,SYSTEM_TOOLS,System Tools,AOSP
android.permission.REMOVE_TASKS,,,
android.permission.SET_SCREEN_COMPATIBILITY,,,
android.permission.MODIFY_NETWORK_ACCOUNTING,,,
android.permission.DELETE_PACKAGES,,,
android.permission.PACKAGE_VERIFICATION_AGENT,,,
android.permission.GRANT_REVOKE_PERMISSIONS,,,
android.permission.CHANGE_COMPONENT_ENABLED_STATE,,,
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.MODIFY_PHONE_STATE",,,
"android.permission.DEVICE_POWER, android.permission.START_ANY_ACTIVITY",,,
"android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",,,
android.permission.READ_PROFILE,PERSONAL_INFO,Personal Info,AOSP
"android.permission.DELETE_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL",,,
"android.permission.INSTALL_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_ACCOUNTS",,,
"android.permission.GET_ACCOUNTS, android.permission.INTERACT_ACROSS_USERS_FULL",,,
