permission,count
android.permission.DISABLE_KEYGUARD,5
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",5
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SET_PREFERRED_APPLICATIONS",5
android.permission.MANAGE_USERS,5
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",5
"android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",5
android.permission.MANAGE_MEDIA_PROJECTION,5
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY",5
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_PRIVILEGED",5
"android.permission.MODIFY_PHONE_STATE, android.permission.READ_PHONE_STATE",5
"android.permission.ACCESS_KEYGUARD_SECURE_STORAGE, android.permission.READ_CONTACTS",5
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS",5
android.permission.MANAGE_SOUND_TRIGGER,5
android.permission.READ_CONTACTS,4
android.permission.CALL_PRIVILEGED,4
android.permission.CONTROL_LOCATION_UPDATES,4
android.permission.ACCESS_FINE_LOCATION,4
android.permission.WRITE_PROFILE,4
android.permission.ACCESS_DRM,4
android.permission.MODIFY_APPWIDGET_BIND_PERMISSIONS,4
android.permission.ASEC_CREATE,4
android.permission.ASEC_ACCESS,4
android.permission.SET_KEYBOARD_LAYOUT,4
ti.permission.FMRX,4
"android.permission.CHANGE_COMPONENT_ENABLED_STATE, android.permission.INTERACT_ACROSS_USERS_FULL",4
android.permission.MAGNIFY_DISPLAY,4
android.permission.GET_TOP_ACTIVITY_INFO,4
android.permission.MEDIA_CONTENT_CONTROL,4
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.STATUS_BAR, android.permission.WRITE_SECURE_SETTINGS",4
"android.permission.CHANGE_WIFI_STATE, android.permission.UPDATE_DEVICE_STATS",4
android.permission.MODIFY_AUDIO_ROUTING,4
"android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",4
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",4
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.WRITE_SYNC_SETTINGS",4
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_CA_CERTIFICATES",4
android.permission.MODIFY_PARENTAL_CONTROLS,4
"android.permission.RECEIVE_SMS, android.permission.SEND_SMS, android.permission.UPDATE_APP_OPS_STATS",4
android.permission.CONTROL_VPN,4
"android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",4
android.permission.USE_FINGERPRINT,4
"android.permission.ACCESS_NETWORK_STATE, android.permission.TETHER_PRIVILEGED",4
android.permission.RECOVERY,4
"android.permission.BROADCAST_STICKY, android.permission.SET_DEBUG_APP, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",4
android.permission.CALL_PHONE,3
android.permission.READ_SOCIAL_STREAM,3
"android.permission.READ_SOCIAL_STREAM, android.permission.WRITE_SOCIAL_STREAM",3
android.permission.ACCESS_ALL_DOWNLOADS,3
android.permission.WRITE_APN_SETTINGS,3
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE",3
android.permission.SHUTDOWN,3
android.permission.WRITE_SETTINGS,3
android.permission.VIBRATE,3
android.permission.SET_WALLPAPER_HINTS,3
android.permission.SET_WALLPAPER,3
android.permission.SET_WALLPAPER_COMPONENT,3
android.permission.FORCE_STOP_PACKAGES,3
"android.permission.BROADCAST_STICKY, android.permission.DEVICE_POWER, android.permission.START_ANY_ACTIVITY",3
android.permission.REORDER_TASKS,3
android.permission.REMOVE_TASKS,3
android.permission.SET_SCREEN_COMPATIBILITY,3
android.permission.MODIFY_NETWORK_ACCOUNTING,3
android.permission.DELETE_PACKAGES,3
android.permission.PACKAGE_VERIFICATION_AGENT,3
android.permission.GRANT_REVOKE_PERMISSIONS,3
android.permission.CHANGE_COMPONENT_ENABLED_STATE,3
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.MODIFY_PHONE_STATE",3
"android.permission.DEVICE_POWER, android.permission.START_ANY_ACTIVITY",3
"android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",3
android.permission.READ_PROFILE,3
"android.permission.DELETE_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL",3
"android.permission.INSTALL_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL",3
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_ACCOUNTS",3
"android.permission.GET_ACCOUNTS, android.permission.INTERACT_ACROSS_USERS_FULL",3
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.START_ANY_ACTIVITY",3
android.permission.SET_PROCESS_LIMIT,3
"android.permission.ACCESS_NETWORK_STATE, android.permission.INTERNET",3
android.permission.SCORE_NETWORKS,3
"android.permission.GET_TASKS, android.permission.REAL_GET_TASKS",3
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_DEVICE_STATS",3
android.permission.MANAGE_VOICE_KEYPHRASES,3
android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST,3
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS",3
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",3
"android.permission.ACCESS_FINE_LOCATION, android.permission.INTERACT_ACROSS_USERS_FULL",3
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",3
android.permission.USE_CREDENTIALS,2
"android.permission.MANAGE_ACCOUNTS, android.permission.USE_CREDENTIALS",2
android.permission.REMOTE_AUDIO_PLAYBACK,2
android.permission.ASEC_MOUNT_UNMOUNT,2
android.permission.SERIAL_PORT,2
android.permission.UPDATE_LOCK,2
android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY,2
android.permission.GET_TASKS,2
android.permission.KILL_BACKGROUND_PROCESSES,2
android.permission.STOP_APP_SWITCHES,2
"android.permission.BROADCAST_STICKY, android.permission.SET_SCREEN_COMPATIBILITY, android.permission.START_ANY_ACTIVITY",2
"android.permission.BROADCAST_STICKY, android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY",2
android.permission.CHANGE_CONFIGURATION,2
android.permission.CLEAR_APP_CACHE,2
android.permission.MOVE_PACKAGE,2
android.permission.SET_ORIENTATION,2
android.permission.SET_ANIMATION_SCALE,2
"ti.permission.FMRX, ti.permission.FMRX_ADMIN",2
"android.permission.FORCE_STOP_PACKAGES, android.permission.START_ANY_ACTIVITY",2
"android.permission.SET_SCREEN_COMPATIBILITY, android.permission.START_ANY_ACTIVITY",2
"android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY",2
android.permission.FILTER_EVENTS,2
android.permission.FREEZE_SCREEN,2
android.permission.GET_APP_OPS_STATS,2
android.permission.ACCESS_NOTIFICATIONS,2
"android.permission.UPDATE_APP_OPS_STATS, android.permission.VIBRATE",2
android.permission.TRANSMIT_IR,2
android.permission.MANAGE_CA_CERTIFICATES,2
"android.permission.CAPTURE_SECURE_VIDEO_OUTPUT, android.permission.CAPTURE_VIDEO_OUTPUT",2
android.permission.CAPTURE_AUDIO_OUTPUT,2
"android.permission.MODIFY_AUDIO_SETTINGS, android.permission.MODIFY_PHONE_STATE",2
"android.permission.BLUETOOTH_ADMIN, android.permission.MODIFY_PHONE_STATE",2
"android.permission.BROADCAST_SCORE_NETWORKS, android.permission.SCORE_NETWORKS",2
android.permission.BROADCAST_SCORE_NETWORKS,2
"android.permission.ACCESS_COARSE_LOCATION, android.permission.READ_PHONE_STATE, android.permission.READ_PRECISE_PHONE_STATE, android.permission.READ_PRIVILEGED_PHONE_STATE",2
"android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_APP_OPS_STATS, android.permission.UPDATE_DEVICE_STATS",2
"android.permission.BROADCAST_STICKY, android.permission.KILL_BACKGROUND_PROCESSES",2
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",2
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_APP_TOKENS, android.permission.SET_SCREEN_COMPATIBILITY, android.permission.UPDATE_DEVICE_STATS",2
"android.permission.BROADCAST_STICKY, android.permission.CHANGE_CONFIGURATION, android.permission.UPDATE_DEVICE_STATS",2
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_USERS",2
android.permission.CAPTURE_TV_INPUT,2
"android.permission.ACCESS_WIFI_STATE, android.permission.READ_WIFI_CREDENTIAL",2
android.permission.FRAME_STATS,2
"android.permission.RECEIVE_SMS, android.permission.UPDATE_APP_OPS_STATS",2
"android.permission.BROADCAST_NETWORK_PRIVILEGED, android.permission.SCORE_NETWORKS",2
"android.permission.ACCESS_WIFI_STATE, android.permission.INTERACT_ACROSS_USERS_FULL",2
"android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",2
android.permission.KILL_UID,2
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL",2
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PRIVILEGED_PHONE_STATE",2
"android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PRIVILEGED_PHONE_STATE",2
"android.permission.DELETE_PACKAGES, android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",2
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.PACKAGE_VERIFICATION_AGENT, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",2
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS, android.permission.INSTALL_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",2
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS",2
android.permission.DVB_DEVICE,2
"android.permission.READ_PHONE_STATE, android.permission.READ_PRIVILEGED_PHONE_STATE",2
"android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",2
android.permission.GET_PROCESS_STATE_AND_OOM_SCORE,2
"android.permission.CACHE_CONTENT, android.permission.INTERACT_ACROSS_USERS_FULL",2
"android.permission.GET_ACCOUNTS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_SYNC_STATS",2
android.permission.TABLET_MODE,2
"android.permission.DELETE_CACHE_FILES, android.permission.INTERACT_ACROSS_USERS_FULL",2
android.permission.INTERNAL_SYSTEM_WINDOW,2
android.permission.REGISTER_WINDOW_MANAGER_LISTENERS,2
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONNECTIVITY_USE_RESTRICTED_NETWORKS",2
"android.permission.BLUETOOTH, android.permission.WRITE_SECURE_SETTINGS",1
com.android.email.permission.ACCESS_PROVIDER,1
"android.permission.READ_PROFILE, android.permission.WRITE_PROFILE",1
"android.permission.ACCESS_CACHE_FILESYSTEM, android.permission.ACCESS_DOWNLOAD_MANAGER, android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED, android.permission.DOWNLOAD_CACHE_NON_PURGEABLE, android.permission.DOWNLOAD_WITHOUT_NOTIFICATION, android.permission.INTERNET, android.permission.WRITE_EXTERNAL_STORAGE",1
android.permission.INSTALL_DRM,1
"android.permission.ACCESS_CACHE_FILESYSTEM, android.permission.READ_EXTERNAL_STORAGE, android.permission.WRITE_EXTERNAL_STORAGE",1
android.permission.SET_TIME,1
android.permission.SET_TIME_ZONE,1
android.permission.READ_LOGS,1
android.permission.INSTALL_LOCATION_PROVIDER,1
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.ACCESS_LOCATION_EXTRA_COMMANDS",1
android.permission.ASEC_DESTROY,1
android.permission.ASEC_RENAME,1
android.permission.INTERNET,1
"android.permission.DEVICE_POWER, android.permission.WAKE_LOCK",1
"android.permission.ACCESS_COARSE_LOCATION, android.permission.READ_PHONE_STATE",1
"android.permission.BACKUP, android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",1
"android.permission.BROADCAST_STICKY, android.permission.FORCE_STOP_PACKAGES, android.permission.START_ANY_ACTIVITY",1
"android.permission.BROADCAST_STICKY, android.permission.KILL_BACKGROUND_PROCESSES, android.permission.START_ANY_ACTIVITY",1
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY",1
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",1
android.permission.SET_ALWAYS_FINISH,1
"android.permission.BROADCAST_STICKY, android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY",1
android.permission.SIGNAL_PERSISTENT_PROCESSES,1
"android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES",1
android.permission.FORCE_BACK,1
android.permission.SET_POINTER_SPEED,1
"android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PHONE_STATE",1
android.permission.CLEAR_APP_USER_DATA,1
android.permission.DELETE_CACHE_FILES,1
android.permission.GET_PACKAGE_SIZE,1
android.permission.ACCESS_ALL_EXTERNAL_STORAGE,1
temporaryEnableAccessibilityStateUntilKeyguardRemoved,1
"android.permission.BACKUP, android.permission.START_ANY_ACTIVITY",1
"android.permission.FILTER_EVENTS, android.permission.START_ANY_ACTIVITY",1
"android.permission.KILL_BACKGROUND_PROCESSES, android.permission.START_ANY_ACTIVITY",1
"android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY",1
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.START_ANY_ACTIVITY",1
"android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY",1
"android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES",1
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_NETWORK_USAGE_HISTORY",1
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.MODIFY_NETWORK_ACCOUNTING, android.permission.READ_NETWORK_USAGE_HISTORY",1
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.MODIFY_NETWORK_ACCOUNTING",1
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MODIFY_NETWORK_ACCOUNTING",1
"android.permission.CLEAR_APP_USER_DATA, android.permission.INTERACT_ACROSS_USERS_FULL",1
android.permission.MARK_NETWORK_SOCKET,1
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.UPDATE_APP_OPS_STATS, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.MANAGE_ACTIVITY_STACKS, android.permission.START_ANY_ACTIVITY",1
android.permission.RECEIVE_BLUETOOTH_MAP,1
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",1
android.permission.RECEIVE_MMS,1
getWindowToken,1
"android.permission.CONFIRM_FULL_BACKUP, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_APP_OPS_STATS, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.FORCE_STOP_PACKAGES, android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.FORCE_STOP_PACKAGES, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.GET_DETAILED_TASKS, android.permission.GET_TASKS, android.permission.REAL_GET_TASKS",1
"android.permission.BROADCAST_STICKY, android.permission.FILTER_EVENTS",1
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.BROADCAST_STICKY",1
"android.permission.REMOVE_TASKS, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.DEVICE_POWER, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.SET_PROCESS_LIMIT, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.GET_APP_OPS_STATS, android.permission.MANAGE_APP_TOKENS, android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.START_TASKS_FROM_RECENTS, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BIND_VOICE_INTERACTION, android.permission.BROADCAST_STICKY, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.FORCE_BACK, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1
android.permission.SET_INPUT_CALIBRATION,1
android.permission.RECEIVE_BOOT_COMPLETED,1
"android.permission.MANAGE_MEDIA_PROJECTION, android.permission.UPDATE_APP_OPS_STATS",1
"android.permission.REBOOT, android.permission.RECOVERY",1
"android.permission.MODIFY_PHONE_STATE, com.android.server.telecom.permission.REGISTER_PROVIDER_OR_SUBSCRIPTION",1
"android.permission.CHANGE_NETWORK_STATE, android.permission.CHANGE_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",1
"android.permission.CHANGE_WIFI_STATE, android.permission.LOCATION_HARDWARE, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.LOCATION_HARDWARE",1
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_RESPOND_VIA_MESSAGE, android.permission.UPDATE_APP_OPS_STATS",1
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_RESPOND_VIA_MESSAGE",1
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONTROL_VPN",1
android.permission.BROADCAST_NETWORK_PRIVILEGED,1
android.permission.CONFIRM_FULL_BACKUP,1
"android.permission.BROADCAST_STICKY, android.permission.SET_DEBUG_APP",1
android.permission.START_TASKS_FROM_RECENTS,1
android.permission.BIND_VOICE_INTERACTION,1
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PHONE_STATE",1
"android.permission.MODIFY_PHONE_STATE, android.permission.REGISTER_CONNECTION_MANAGER",1
"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE, android.permission.LOCATION_HARDWARE",1
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MODIFY_PHONE_STATE",1
"android.permission.BLUETOOTH, android.permission.LOCAL_MAC_ADDRESS",1
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",1
android.permission.PACKET_KEEPALIVE_OFFLOAD,1
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.INSTALL_LOCATION_PROVIDER",1
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.START_ANY_ACTIVITY",1
"android.permission.BROADCAST_STICKY, android.permission.SET_PROCESS_LIMIT",1
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MODIFY_AUDIO_SETTINGS",1
